name,review,brand,average_rating,reviews_count,recommended_review_No,recommended_review_yes,recommended_sentiment
Aluratek Fast Charge Black Power Bank with Dual USB and Single USB-C Ports 20000mAh,Works great. Stays charged for a long time. Charges fast.,Aluratek,5.0,1,0.0,1.0,1.0
Angry Birds: Star Wars - Xbox One,"I'm 60years old and watched my grandson of age 6 play on his tablet. we loved taking turns. I wanted to be able to play my own as a player #2... went to look for this game as it was a 2 player up to a 4 player. gam estop made it easy by looking and finding is wasn't in their store. ordered and it in came and in time for Christmas.. we play and I able able to enjoy this game Angry Birds Star Wars with ease.We bought this game to play with our adult children. It was easy to learn and fun for all to play. Four player games are getting to be so rare now days and this was perfect.This game should have been ended a long time ago, on the mobile devices of course, but yet they decide to keep it alive. This game should not be bought for it is just a higher price than the mobile device prices. A full review of this game is not needed because this game fails to deliver any real and new content. Other than the ""new"" levels they made there is no new content.This Game Sucks. It is Angry Birds on the Xbox. It does NOT work plus Angry Birds is outdated and should be put to restIt you played angry birds you will like this game, it is for everyone to play becasue it is a casual game.",Activision,4.2941,17,2.0,3.0,0.6
Atari Flashback Classics Vol 3 - PlayStation 4,"Like these old games but they should have been put on 1 disk instead of 3. Not a lot of data required for 8 bit games. They only did it to make more money. Rob the consumer???Do not let the 3 stars on graphics mislead you.  For anyone who has nostalgia for playing the Atari 2600 and Atari Arcade games, any of the volumes of this series is a must.  AGAIN: For those who love the classic games!  Anyone who was raised on 1080p graphics, 3d modeled action games may not enjoy this as much, so take this under consideration, as they may be disappointed.  For all those who love the classic games from the 70's, this is the games we love and missed.  Excellent for introducing a gaming newbie to the gaming world while reliving the games of old.the flashback classic took me back to my childhood,the games are just as i remember them,the grahics are terrible if want to compare them to today's  video game, but still funI grew up playing the Atari 2600 and its various games. So I was thrilled to stumble onto volum three with the 5200 system!! Thanks so much for the games folks!!Like I played Atari 5200 system for games. The games are classic.",Atari,3.5806,31,3.0,2.0,0.4
Barbie Groom and Glam Pups - Nintendo DS,"I got this game when I was younger and it was a lot of fun. Thank You for a game that made me very happy!When it comes time to name your animal ot doesn't work properly. She and i tried over and over to name it. Looked for solutions online, but she never got it to work.This game is good for little girls who are interested in Barbie. I was 10 when I got it and I thought it would be fun and have more to do with the dogs and teaching them tricks. But it's mainly about Barbie and her dog. For little kids it would be fun, but there's barely any choices to choose your own dog. Like I said, okay for little little kids who like Barbie.THIS IS THE BEST GAME EVER MADE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! PS. THIS GAME IS BETTER THAN ASSASSINS CREED BROTHERHOOD AND HALO REACH COMBINED!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! IT IS WICKED!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! HARDCORE GAMERS GET THIS GAME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",THQ Nordic,2.375,8,3.0,1.0,0.25
Batman: Arkham Asylum and Batman: Arkham City Dual Pack - Xbox 360,The graphics are pretty good...game is a little hard...but the batman costume is really lt...and the skills are good.I bought this last week because I had the third one and needed the first two. I was not disappointed when I bought them however I have the policy about the scratches and the first one Arkham asylum is scratched and at a certain point it stops working so yea. But nonetheless still great games!!I bought this bundle not knowing that it came with all of he dlc and to my surprise it came with it! They arr two of the best games of the last generation and they both won game of the year in their years respectivly.,Warner Bros. Interactive Entertainment,4.5714,14,0.0,3.0,1.0
Battlefield 1,"Game is great historical ww1 shooter. A lot of free dlc was given to the players and the game has great gamplay and beautiful graphics.It is not a good game..................................................................THE BEST BATTLEFIELD EVER AND WANTED TO GET IT FOR MY PC AND WANTED TO PLAY IT SO BADI'm mainly writing this to help the games review on Gamestop... But it doesn't deserve a 3.7 that it's listed at. If you like shooters, and HUGE maps, lots of sniping space, vehicles, 40 players and great graphics.. Stop wasting time and start downloading this game. My only downside to it really is the download size... It's enormous ~50GB.This game is probably one of the most realistic FPS I've played. The game play is amazing, not to mention a history lesson. The game is intense. When you put a good gaming headset on you can hear the bullets wizzing by, its pretty crazy. Online play is intense and fast paced, the multipul arrays of vehicle choices and different weapons make for a game that keeps on giving.Battlefield has strayed from what made it great, and is now turning into the pile of garbage known as Call of Duty. If you want a good WW1 game get Verdun. It's cheaper and actually realistic. Absolutely 0 lasting appeal. No desire to play this at all.The overall concept of the game is good; I do like how the game comes with new features like the bayonet charge. I also like the options of a vehicle having the capability of holding a lot of people. What I do not like is the game is full of glitches. This is not a well-polished game at all. It leaves a lot to be desired. If you have a FPS that you already like and know this may not be a good choice for you. The vehicles being able to carry multiple passengers are the only good feature about them. The viewing angles are awful and while this might be historically correct is does not make for good game play. Shotguns are ridiculously over powered! People one shot from halfway across the map as well as handgun sniping seems to be happening too. I don’t know if this a cheating issue or a skill issue. The last point I would make is that all the servers have very low Tic counts. This can make for some very short games. More load time then actual play time. I would only recommend this game if you are looking for a game that takes place during this time period or you would want a FPS while not having one that is current.With the game barely coming out it is in fair quality, the game has amazing rendering, graphics, and sound environments. The games campaign is quite an experience with action packed scenes and thought out storyline. The playstyle is similar to bf3 and 4 but has some really outstanding additions to the game. The only bad part that is standing because it was just released... The multiplayer is not balanced, I feel as though the game gives you the WORST weapons to start off with; It's understandable to give beginners OK weapons but the ones you receive are absolute garbage. Also at the moment some of the aiming for non single fire/ Bolt action is slightly off, missing shots when you know you hit them. (It is not any connection problems or game lag that is affecting my biased opinion as I have an amazing computer and 45 or so Ping.)",Electronic Arts,3.5556,9,5.0,3.0,0.375
Big Rumble Boxing: Creed Champions  - Xbox One,"The game is fun, but would be better with online VS mode. This game is not Fight Night and if that is what your looking for this game is not for you. The game is fun for a little trash talk between friends. I've unlocked almost every character so I'll be trading it end soon.",Deep Silver,3.75,32,0.0,1.0,1.0
Bioworld Merchandising Batman Bifold Wallet,It’s a nice wallet I picked it because Batman is a great superhero he’s my favorite superhero fits a lot of credit cards,Bioworld Merchandising,5.0,3,1.0,0.0,0.0
Borderlands 2,"Gearbox removed LAN feature without even a logical reason. This game used to be amazing, but now it's garbage.  Will not change review until they add LAN back. No logical reason for removing it.  And before anyone comments about playing online, bad internet where I live, and me and my friends used to play LAN, now it just sits uninstalled in my steam library.Bought this game awhile ago as a few of my friends have it, and it looked like it would be a fun thing to play. It is, and I am glad I bought it. Very easy to play, and as such, very addictive.Bought this game when it first came out in 2012, lost it somehow, and bought it again as a download.
Best yuk-yuk arcade style shoot-em-up game ever!! Stands the test of time!  Can't wait fo Borderlands 3.This game is hard to describe. And that is in the good way. This game has it all. Procedurally generated loot, awesome weapons, more dlc than any other game I know, hilarious characters (like a certain CL4P-TP unit) and engaging story, amazing open world size (beat only by -insert bethesda game here-), and so much customization. This is only scratching the surface of Borderlands 2's amazingnesseses.I enjoy this game to many extents. It appeals to my hardcore gamer side, as well as my need for comedic effect in certain instances. I love the multitude of references, as well as the core gameplay mechanics. It definitely lives up to the first one's reputation.Borderlands 1 trumps this game in almost every important aspect.
The guns in B1 look much better. In B2 they all look really weird that you would think they're all alien guns.
In B1 you like the bad guys(especially General Knoxx), in B2 you are annoyed by them as they tell unfunny jokes and crude humor.
There are also some mean things that they do to old characters in B2 that I really hate. I can not tell to you here, you must google it.
The atmosphere is drenched with depression every step of the way, that it sucks.
Also they limited you to 27 items backpack. Yes, a huge downgrade from B1.
Gearbox made some lame excuses about why it is that way, but you can tell the writer does not even believe what the he was writing.
It's such a disappointment, much more so because of so much work put into it(good environs, mini bosses), ruined at the core by flawed ideas.PhysX physics engine really shines in this game. People playing this game on XBox 360 or PS3 dont know what there missing. Dynamic particles are everywhere! Really helps to have a second video card just dedicated to running PhysX. Running 560 Ti as main graphics card and 550Ti as dedicated PhysX card.This game is alot of fun to play, there are thousands of guns that do all sorts of things from shooting fireballs to guns that explode when thrown. The person who said this game is easy was most likely playing this on easy and then complained its way to easy. Sure its not the hardest game in the world but i wouldnt say its ""Easy"". This game has alot to offer for this who are sick of generic fps games such as COD or Battlefield. Only reason i didnt give it a ten is because i think the sound of the guns could have been much better but thats just my opinion.This game is a terrific game. It is so fun and addicting I play it all the time. It is great for casual and hardcore gamers. I seriously recommend this game to anyone who is considering about buying it.Hey guys, just wanted to shed some light on pc version and console version as I own both. If you have a pc that can run it then get it for pc you'll love all the added Physx stuff that goes along with it and having native 1080p support where as the console has 720p then upconverted and no AA applied. The game for all 3 systems is solid and very fun. More story this time around. Graphics are good but if your a PC gamer and play this game on console for example I originally purchased for Xbox and edges of the game are really jagged and some of the graphics are meh. On PC you can apply AA or FXAA and it'll get rid of the jagged edges and the graphics are bumped up. Also the game supports physx so you got some extra goodies with the game if your card support it. Well thats just my 2 cents, happy gaming.This is an amazing game already have beat it with two characters and still am find new things. If you you thought it was too easy then you aren't playing the missions at the correct level.WAY BETTER THEN BORDERLANDS 1. You gotta get it if you loved borderlands1, the story is amazing with a lot of funny parts spread around the gameall i can say is amazing...... cant stop playing the game has consumed my life. The moment i bought it i couldnt get off.First of all, why are you reading this? You should have bought this game ages ago!!! IT'S BORDERLANDS 2! This game is the best co-op experience you can buy. So much fun to play with your friends. The dialog is the funniest stuff I've ever heard. And this games has 87 BAZILLION GUNS! They even got an award for most guns in a video game, yeah, A FREAKING AWARD. Now go to gamestop right now, and THROW ALL YOUR MONEY AT THE REGISTER AND BUY THIS GAME! STOP READING THIS ALREADY AND GOOOOOOOOOO!!!!!!!!!!!!!!!!!!!!!!Its a fun game but i didnt feel like it was hard at all. I laugh at people that play this game. Go play a real game that actually takes skill.",2K Games,4.1875,16,3.0,12.0,0.8
Brothers in Arms: Earned in Blood,"I like the game alot but i cant play online because i downloaded it from ebgames.com so i dont have a cd key so i cant play online. But the game is challenging, it gives you a feeling of how intense WW 2 was, and you get an incredibly sweet feeling when you falnk the enemy and finish them. The story is awsome because it shows it from another perspective. It tells you alot about your charecter. Joe Hartsock or ""Red"" is a careing squad leader who would do anything just to get his men home in one piece. But he realizes that he cant save anyone so he thinks he's there to shorten the casualties. You have to take your men are part of the legendary 101st Airborne. You'll need tactical excellence to get through this game. But you also need to care for your men because you will need them to help you and if they die you have no chance so keep them alive!",Ubisoft,5.0,1,0.0,1.0,1.0
